Model,Graph,Hyperparameter 1,Hyperparameter 2,Mean relative optimality gap (%),Median relative optimality gap (%),Minimum relative optimality gap (%),Standard deviation on relative optimality gap (%)
CIM,G1,B_num_vertices=200.00,zeta=0.55,0.09,0.09,0.00,0.05
CIM,G2,B_num_vertices=200.00,zeta=0.55,0.12,0.11,0.05,0.04
CIM,G3,B_num_vertices=190.00,zeta=0.55,0.08,0.08,0.01,0.04
CIM,G4,B_num_vertices=200.00,zeta=0.50,0.14,0.14,0.00,0.05
CIM,G5,B_num_vertices=200.00,zeta=0.50,0.06,0.03,0.00,0.07
NEC,G1,gamma_factor=8.00,r_target=2.10,0.25,0.24,0.16,0.05
NEC,G2,gamma_factor=14.50,r_target=1.90,0.25,0.23,0.13,0.11
NEC,G3,gamma_factor=12.50,r_target=2.20,0.21,0.17,0.13,0.08
NEC,G4,gamma_factor=10.50,r_target=2.20,0.26,0.20,0.14,0.09
NEC,G5,gamma_factor=10.00,r_target=2.10,0.26,0.25,0.15,0.05
Polynomial,G1,poly_order=3.00,gamma_factor=2.80,0.85,0.84,0.42,0.15
Polynomial,G2,poly_order=3.00,gamma_factor=2.80,0.84,0.85,0.57,0.11
Polynomial,G3,poly_order=3.00,gamma_factor=2.80,0.78,0.76,0.47,0.16
Polynomial,G4,poly_order=3.00,gamma_factor=3.80,0.85,0.86,0.58,0.12
Polynomial,G5,poly_order=3.00,gamma_factor=3.00,0.81,0.80,0.45,0.16
Sigmoid,G1,gamma_factor=5.00,alpha=-50.00,0.67,0.68,0.35,0.12
Sigmoid,G2,gamma_factor=5.50,alpha=-50.00,0.61,0.60,0.44,0.07
Sigmoid,G3,gamma_factor=4.50,alpha=-50.00,0.49,0.36,0.34,0.17
Sigmoid,G4,gamma_factor=5.00,alpha=-40.00,0.53,0.57,0.40,0.09
Sigmoid,G5,gamma_factor=3.50,alpha=-50.00,0.59,0.56,0.56,0.08
q-PDC,G1,gamma_rate/gamma_th=0.48,,4.01,4.04,3.37,0.24
q-PDC,G2,gamma_rate/gamma_th=0.48,,4.02,4.01,3.34,0.25
q-PDC,G3,gamma_rate/gamma_th=0.48,,4.05,4.06,3.38,0.24
q-PDC,G4,gamma_rate/gamma_th=0.48,,4.07,4.10,3.54,0.24
q-PDC,G5,gamma_rate/gamma_th=0.48,,4.15,4.15,3.69,0.25
q-SHIL,G1,,,1.45,1.45,0.99,0.16
q-SHIL,G2,,,1.42,1.42,0.97,0.17
q-SHIL,G3,,,1.44,1.44,1.01,0.19
q-SHIL,G4,,,1.40,1.40,1.07,0.15
q-SHIL,G5,,,1.47,1.48,1.02,0.16
