Model,Graph,Hyperparameter 1,Hyperparameter 2,Mean relative optimality gap (%),Median relative optimality gap (%),Minimum relative optimality gap (%),Standard deviation on relative optimality gap (%)
CIM,G1,B_num_vertices=225.00,zeta=0.74,0.14,0.14,0.09,0.04
CIM,G2,B_num_vertices=250.00,zeta=0.73,0.14,0.14,0.09,0.04
CIM,G3,B_num_vertices=225.00,zeta=0.75,0.12,0.13,0.05,0.06
CIM,G4,B_num_vertices=250.00,zeta=0.74,0.13,0.13,0.08,0.03
CIM,G5,B_num_vertices=250.00,zeta=0.71,0.12,0.09,0.07,0.08
NEC,G1,gamma_factor=1.80,r_target=2.60,3.32,3.29,3.12,0.11
NEC,G2,gamma_factor=0.40,r_target=2.60,3.32,3.28,3.28,0.12
NEC,G3,gamma_factor=1.20,r_target=2.00,3.24,3.21,3.17,0.08
NEC,G4,gamma_factor=0.60,r_target=2.20,3.15,3.15,3.15,0.04
NEC,G5,gamma_factor=0.80,r_target=1.80,3.35,3.32,3.21,0.12
Polynomial,G1,poly_order=6.00,gamma_factor=0.20,3.69,3.68,3.30,0.15
Polynomial,G2,poly_order=7.00,gamma_factor=0.20,3.69,3.71,3.14,0.19
Polynomial,G3,poly_order=7.00,gamma_factor=0.20,3.60,3.61,3.14,0.17
Polynomial,G4,poly_order=6.00,gamma_factor=0.20,3.60,3.62,3.21,0.17
Polynomial,G5,poly_order=7.00,gamma_factor=0.20,3.65,3.64,3.28,0.16
Sigmoid,G1,gamma_factor=1.20,alpha=-10.00,3.53,3.43,3.20,0.18
Sigmoid,G2,gamma_factor=0.80,alpha=-50.00,3.59,3.58,3.58,0.05
Sigmoid,G3,gamma_factor=1.00,alpha=-30.00,3.28,3.28,3.28,0.03
Sigmoid,G4,gamma_factor=1.20,alpha=-30.00,3.32,3.32,3.32,0.00
Sigmoid,G5,gamma_factor=0.20,alpha=-30.00,3.33,3.33,3.33,0.00
q-PDC,G1,gamma_factor=0.40,,3.72,3.70,3.22,0.20
q-PDC,G2,gamma_factor=0.10,,3.76,3.74,3.39,0.15
q-PDC,G3,gamma_factor=0.20,,3.64,3.63,3.15,0.20
q-PDC,G4,gamma_factor=0.40,,3.64,3.64,3.17,0.22
q-PDC,G5,gamma_factor=0.20,,3.72,3.73,3.37,0.18
q-SHIL,G1,,,3.69,3.69,3.29,0.18
q-SHIL,G2,,,3.68,3.68,3.22,0.15
q-SHIL,G3,,,3.65,3.66,3.25,0.17
q-SHIL,G4,,,3.66,3.66,3.23,0.19
q-SHIL,G5,,,3.67,3.68,3.07,0.17
